VentaCodigo,FechaVenta,ClienteCodigo,ProductoCodigo,VendedorCodigo,SucursalCodigo,Canal,Cantidad,PrecioUnitario,CostoUnitario
VTA000087,2025-12-01,CLI0034,PROD0044,VEN017,SUC010,Presencial,1,732500,580900
VTA000088,2026-02-25,CLI0073,PROD0048,VEN015,SUC007,Telefónico,9,19900,13100
VTA000089,2025-09-16,CLI0020,PROD0006,VEN003,SUC002,Web,9,283500,186700
VTA000090,2026-05-22,CLI0078,PROD0031,VEN016,SUC004,Web,6,264300,198700
VTA000091,2026-04-30,CLI0068,PROD0012,VEN005,SUC002,Presencial,9,396300,279600
VTA000092,2026-02-28,CLI0091,PROD0042,VEN020,SUC003,Web,10,392500,279100
VTA000093,2026-04-20,CLI0076,PROD0047,VEN014,SUC008,Telefónico,6,410100,352700
VTA000094,2026-03-10,CLI0047,PROD0036,VEN005,SUC004,Web,5,506900,325800
VTA000095,2025-02-12,CLI0019,PROD0023,VEN020,SUC001,Web,4,582600,396400
VTA000096,2026-03-07,CLI0067,PROD0050,VEN013,SUC008,Presencial,1,263600,206000
VTA000097,2026-02-16,CLI0086,PROD0018,VEN003,SUC006,Presencial,8,193000,153300
VTA000098,2025-02-24,CLI0091,PROD0030,VEN018,SUC004,Web,12,584900,437400
VTA000099,2026-01-20,CLI0047,PROD0044,VEN018,SUC008,Web,1,748900,602400
VTA000100,2025-10-09,CLI0057,PROD0037,VEN004,SUC002,Web,2,250000,163300
VTA000101,2025-01-22,CLI0052,PROD0049,VEN005,SUC001,Web,10,320600,249600
VTA000102,2025-12-27,CLI0093,PROD0004,VEN014,SUC010,Presencial,6,353900,295600
VTA000103,2026-05-06,CLI0054,PROD0030,VEN005,SUC001,Presencial,7,634600,437800
VTA000104,2025-09-18,CLI0069,PROD0010,VEN008,SUC004,Web,3,302200,231700
VTA000105,2025-03-03,CLI0083,PROD0022,VEN004,SUC002,Presencial,12,477700,313500
VTA000106,2025-10-31,CLI0060,PROD0039,VEN013,SUC002,Web,8,325300,218800
VTA000107,2025-11-11,CLI0058,PROD0032,VEN005,SUC008,Web,9,317400,186600
VTA000108,2025-05-05,CLI0016,PROD0025,VEN009,SUC007,Presencial,5,71900,59400
VTA000109,2025-04-20,CLI0041,PROD0006,VEN005,SUC009,Presencial,12,264400,183600
VTA000110,2026-07-23,CLI0099,PROD0009,VEN014,SUC004,Presencial,5,768800,459000
VTA000111,2025-02-09,CLI0067,PROD0022,VEN015,SUC004,Web,9,482000,311000
VTA000112,2025-07-12,CLI0017,PROD0001,VEN004,SUC004,Presencial,9,434700,251000
VTA000113,2026-05-09,CLI0082,PROD0049,VEN017,SUC002,Telefónico,4,328400,250000
VTA000114,2025-06-15,CLI0060,PROD0043,VEN008,SUC002,Presencial,5,493200,363200
VTA000115,2025-01-13,CLI0083,PROD0012,VEN018,SUC010,Presencial,10,430500,283200
VTA000116,2025-10-06,CLI0090,PROD0030,VEN002,SUC010,Presencial,9,586800,447400
VTA000117,2025-05-29,CLI0023,PROD0037,VEN019,SUC006,Telefónico,2,257000,161900
VTA000118,2026-01-22,CLI0075,PROD0047,VEN008,SUC005,Presencial,2,423700,349300
VTA000119,2026-04-19,CLI0058,PROD0048,VEN006,SUC006,Web,7,21600,13300
VTA000120,2025-02-08,CLI0047,PROD0041,VEN015,SUC003,Presencial,2,205700,137300
VTA000121,2026-06-26,CLI0086,PROD0028,VEN020,SUC008,Presencial,12,439200,277500
VTA000122,2025-03-19,CLI0054,PROD0028,VEN003,SUC001,Web,4,464500,274500
VTA000123,2025-04-25,CLI0004,PROD0012,VEN012,SUC005,Web,7,439200,283800
VTA000124,2025-01-27,CLI0082,PROD0010,VEN006,SUC008,Presencial,10,328200,224900
VTA000125,2025-12-26,CLI0088,PROD0022,VEN005,SUC005,Presencial,10,482800,318100
VTA000126,2025-08-28,CLI0024,PROD0021,VEN006,SUC007,Telefónico,12,873300,658000
VTA000127,2026-05-12,CLI0028,PROD0007,VEN020,SUC002,Web,8,616200,455800
VTA000128,2025-10-22,CLI0080,PROD0028,VEN012,SUC001,Web,6,455400,270800
VTA000129,2026-03-09,CLI0020,PROD0025,VEN002,SUC008,Presencial,6,74500,61300
VTA000130,2025-08-28,CLI0023,PROD0034,VEN005,SUC010,Web,11,596500,414800
VTA000131,2026-04-23,CLI0090,PROD0019,VEN013,SUC008,Presencial,11,722800,460400
VTA000132,2026-04-22,CLI0028,PROD0002,VEN009,SUC002,Web,2,463200,244700
VTA000133,2025-11-23,CLI0057,PROD0030,VEN017,SUC007,Telefónico,12,601800,444100
VTA000134,2026-07-03,CLI0010,PROD0034,VEN006,SUC009,Web,10,563500,414200
VTA000135,2026-01-11,CLI0002,PROD0045,VEN014,SUC004,Telefónico,7,119400,94600
VTA000136,2026-04-19,CLI0020,PROD0009,VEN010,SUC001,Presencial,1,768100,469400
VTA000137,2026-06-11,CLI0043,PROD0047,VEN017,SUC007,Web,2,436000,364600
VTA000138,2025-04-09,CLI0058,PROD0001,VEN017,SUC008,Web,5,440000,248400
VTA000139,2025-10-17,CLI0007,PROD0029,VEN010,SUC006,Telefónico,2,651000,423800
VTA000140,2026-01-25,CLI0079,PROD0012,VEN014,SUC008,Web,7,451800,283700
VTA000141,2026-05-22,CLI0027,PROD0025,VEN020,SUC008,Telefónico,9,78900,59500
VTA000142,2025-05-18,CLI0079,PROD0012,VEN001,SUC010,Presencial,4,394500,283600
VTA000143,2026-02-21,CLI0052,PROD0045,VEN016,SUC003,Presencial,8,117300,93600
VTA000144,2025-08-14,CLI0073,PROD0045,VEN002,SUC003,Telefónico,5,128900,92600
VTA000145,2025-02-05,CLI0021,PROD0009,VEN018,SUC008,Web,2,853800,470100
VTA000146,2025-10-10,CLI0015,PROD0042,VEN005,SUC009,Web,1,404800,274400
VTA000147,2026-04-01,CLI0035,PROD0013,VEN015,SUC010,Presencial,6,533700,397600
VTA000148,2026-05-17,CLI0052,PROD0046,VEN007,SUC006,Presencial,7,599700,360100
VTA000149,2026-03-22,CLI0094,PROD0008,VEN007,SUC003,Web,1,661700,387500
VTA000150,2025-02-22,CLI0041,PROD0022,VEN012,SUC010,Presencial,9,470400,317800
VTA000151,2025-11-19,CLI0036,PROD0003,VEN017,SUC006,Presencial,8,91900,59600
VTA000152,2025-05-19,CLI0083,PROD0020,VEN010,SUC003,Presencial,7,498100,409000
VTA000153,2025-04-21,CLI0057,PROD0006,VEN011,SUC007,Web,8,291300,183700
VTA000154,2025-05-20,CLI0096,PROD0046,VEN014,SUC007,Presencial,1,527300,349600
VTA000155,2025-08-08,CLI0082,PROD0047,VEN002,SUC009,Presencial,12,438500,350800
VTA000156,2026-07-01,CLI0091,PROD0045,VEN008,SUC008,Telefónico,3,122900,93400
VTA000157,2026-04-05,CLI0004,PROD0005,VEN012,SUC008,Presencial,12,450700,297000
VTA000158,2025-12-06,CLI0070,PROD0010,VEN016,SUC007,Telefónico,7,302600,228600
VTA000159,2025-12-02,CLI0060,PROD0001,VEN017,SUC007,Presencial,11,376500,249500
VTA000160,2025-08-04,CLI0010,PROD0041,VEN011,SUC009,Telefónico,5,201400,140500
VTA000161,2025-07-12,CLI0093,PROD0039,VEN018,SUC010,Web,3,348500,212600
VTA000162,2025-06-04,CLI0094,PROD0032,VEN012,SUC004,Presencial,2,320300,182100
VTA000163,2025-10-24,CLI0031,PROD0041,VEN017,SUC005,Telefónico,7,219200,138600
VTA000164,2025-06-25,CLI0027,PROD0034,VEN003,SUC006,Web,11,541200,414000
VTA000165,2026-02-12,CLI0014,PROD0010,VEN011,SUC003,Telefónico,11,331000,228600
VTA000166,2025-02-18,CLI0069,PROD0012,VEN010,SUC004,Presencial,5,417200,278100
VTA000167,2025-03-16,CLI0009,PROD0044,VEN008,SUC002,Web,5,825600,581300
VTA000168,2026-07-13,CLI0073,PROD0027,VEN016,SUC005,Web,7,101000,77200
VTA000169,2025-07-06,CLI0025,PROD0025,VEN007,SUC008,Presencial,11,79200,60000
VTA000170,2025-08-19,CLI0034,PROD0002,VEN003,SUC008,Presencial,9,441200,243200
VTA000171,2025-04-12,CLI0009,PROD0019,VEN012,SUC004,Web,12,638000,470200
VTA000172,2025-11-19,CLI0048,PROD0002,VEN017,SUC002,Telefónico,1,445100,240900
VTA000173,2025-07-11,CLI0096,PROD0028,VEN002,SUC006,Web,12,420200,274300
VTA000174,2025-09-09,CLI0010,PROD0029,VEN015,SUC008,Web,7,652400,425700
VTA000175,2026-04-13,CLI0001,PROD0021,VEN003,SUC005,Presencial,2,803900,651100
VTA000176,2025-01-14,CLI0081,PROD0048,VEN011,SUC005,Web,7,20100,13000
VTA000177,2026-06-19,CLI0073,PROD0027,VEN007,SUC005,Web,9,108200,75100
VTA000178,2025-12-04,CLI0037,PROD0021,VEN012,SUC010,Presencial,12,788300,648900
VTA000179,2026-07-21,CLI0026,PROD0041,VEN005,SUC004,Web,11,207700,139500
VTA000180,2025-08-18,CLI0074,PROD0002,VEN001,SUC006,Web,3,411200,239000
VTA000181,2026-01-23,CLI0089,PROD0050,VEN005,SUC008,Web,1,256300,208400
VTA000182,2025-01-28,CLI0052,PROD0026,VEN008,SUC008,Web,7,537600,380700
VTA000183,2025-06-22,CLI0091,PROD0046,VEN020,SUC009,Presencial,1,589300,352200
VTA000184,2025-05-07,CLI0005,PROD0014,VEN007,SUC005,Presencial,6,60700,42400
VTA000185,2026-07-27,CLI0074,PROD0006,VEN014,SUC006,Presencial,2,291200,180500
VTA000186,2025-06-05,CLI0006,PROD0041,VEN004,SUC005,Web,9,193700,139200
VTA000187,2025-01-13,CLI0056,PROD0031,VEN004,SUC007,Presencial,10,289700,198300
VTA000188,2025-08-23,CLI0047,PROD0005,VEN019,SUC002,Presencial,4,445100,310700
VTA000189,2025-11-02,CLI0024,PROD0033,VEN019,SUC006,Presencial,1,268600,170900
VTA000190,2026-03-25,CLI0082,PROD0045,VEN004,SUC003,Presencial,4,119100,92900
VTA000191,2025-12-19,CLI0049,PROD0029,VEN019,SUC007,Presencial,1,684100,418300
VTA000192,2026-01-24,CLI0047,PROD0045,VEN006,SUC007,Telefónico,10,117600,91900
VTA000193,2026-05-15,CLI0081,PROD0015,VEN019,SUC009,Telefónico,3,163200,106600
VTA000194,2026-02-17,CLI0069,PROD0012,VEN020,SUC003,Telefónico,3,416500,283800
VTA000195,2026-05-26,CLI0036,PROD0040,VEN003,SUC004,Presencial,7,207100,153900
VTA000196,2025-04-07,CLI0097,PROD0046,VEN005,SUC008,Web,4,530200,358600
VTA000197,2026-01-11,CLI0033,PROD0021,VEN011,SUC004,Presencial,12,879400,662700
VTA000198,2025-11-14,CLI0050,PROD0008,VEN009,SUC010,Presencial,11,590700,376100
VTA000199,2025-02-05,CLI0090,PROD0023,VEN009,SUC010,Telefónico,6,629300,409300
VTA000200,2025-04-16,CLI0085,PROD0015,VEN011,SUC009,Presencial,12,166400,110300
VTA000201,2025-08-24,CLI0054,PROD0045,VEN002,SUC010,Presencial,3,114400,94000
VTA000202,2026-03-15,CLI0008,PROD0032,VEN015,SUC004,Presencial,1,289800,185200
VTA000203,2026-04-26,CLI0010,PROD0004,VEN010,SUC006,Presencial,6,393300,287400
VTA000204,2025-05-15,CLI0060,PROD0037,VEN008,SUC007,Web,9,227000,166600
VTA000205,2026-07-31,CLI0095,PROD0014,VEN011,SUC003,Web,11,61700,44200
VTA000206,2026-02-06,CLI0040,PROD0034,VEN007,SUC001,Presencial,11,588700,405400
VTA000207,2025-04-18,CLI0079,PROD0041,VEN016,SUC010,Web,1,198800,141400
VTA000208,2026-05-21,CLI0012,PROD0006,VEN016,SUC006,Telefónico,7,267900,182300
VTA000209,2025-11-23,CLI0037,PROD0048,VEN007,SUC002,Presencial,7,21400,12800
VTA000210,2025-09-01,CLI0058,PROD0045,VEN011,SUC002,Presencial,5,127100,91400
VTA000211,2025-03-05,CLI0087,PROD0006,VEN006,SUC010,Web,6,276000,185100
VTA000212,2026-05-03,CLI0014,PROD0046,VEN005,SUC001,Telefónico,3,600700,358900
VTA000213,2025-04-13,CLI0054,PROD0042,VEN007,SUC005,Presencial,12,382300,278200
VTA000214,2025-09-06,CLI0073,PROD0018,VEN019,SUC010,Presencial,7,185600,147200
VTA000215,2026-04-28,CLI0009,PROD0005,VEN016,SUC009,Web,3,462800,300600
VTA000216,2025-06-01,CLI0020,PROD0037,VEN005,SUC006,Web,10,237800,164000
VTA000217,2026-01-21,CLI0070,PROD0021,VEN005,SUC002,Presencial,12,843000,648600
VTA000218,2026-03-02,CLI0062,PROD0020,VEN010,SUC002,Presencial,2,521600,408900
VTA000219,2026-07-10,CLI0002,PROD0003,VEN014,SUC006,Telefónico,1,80800,60500
VTA000220,2025-08-23,CLI0002,PROD0019,VEN005,SUC001,Presencial,2,668700,481000
VTA000221,2026-03-12,CLI0017,PROD0035,VEN020,SUC007,Presencial,7,727300,460200
VTA000222,2025-09-02,CLI0038,PROD0037,VEN001,SUC007,Web,2,244800,166800
VTA000223,2026-05-24,CLI0032,PROD0030,VEN003,SUC008,Presencial,11,651500,454600
VTA000224,2025-05-23,CLI0064,PROD0031,VEN016,SUC005,Presencial,6,252900,205000
VTA000225,2025-09-26,CLI0036,PROD0002,VEN006,SUC004,Presencial,5,406800,241000
VTA000226,2025-08-08,CLI0035,PROD0020,VEN017,SUC003,Web,11,547400,405700
VTA000227,2026-03-28,CLI0057,PROD0046,VEN002,SUC004,Presencial,2,549400,353900
VTA000228,2026-06-28,CLI0026,PROD0042,VEN019,SUC003,Presencial,1,411700,285000
VTA000229,2026-02-08,CLI0070,PROD0048,VEN013,SUC002,Web,9,21400,12700
VTA000230,2025-12-12,CLI0059,PROD0015,VEN019,SUC004,Web,1,178500,108800
VTA000231,2025-02-16,CLI0098,PROD0038,VEN015,SUC004,Presencial,7,89200,59500
VTA000232,2025-07-28,CLI0062,PROD0050,VEN018,SUC009,Web,4,270300,207000
VTA000233,2025-07-12,CLI0053,PROD0019,VEN005,SUC001,Web,10,685100,481500
VTA000234,2025-11-07,CLI0028,PROD0038,VEN016,SUC006,Presencial,6,101400,57900
VTA000235,2025-01-28,CLI0002,PROD0007,VEN006,SUC007,Web,1,628700,453600
VTA000236,2026-05-12,CLI0008,PROD0009,VEN005,SUC007,Web,1,882900,461300
VTA000237,2025-06-25,CLI0026,PROD0003,VEN001,SUC010,Presencial,2,80200,59700
VTA000238,2025-03-18,CLI0082,PROD0019,VEN006,SUC003,Presencial,5,679700,470400
VTA000239,2025-11-01,CLI0021,PROD0004,VEN010,SUC004,Web,9,383300,294700
VTA000240,2026-05-03,CLI0092,PROD0018,VEN020,SUC009,Web,11,207300,149300
VTA000241,2026-05-09,CLI0083,PROD0039,VEN007,SUC009,Web,12,333900,212500
VTA000242,2025-01-17,CLI0056,PROD0021,VEN014,SUC006,Telefónico,4,820200,665000
VTA000243,2026-02-08,CLI0096,PROD0018,VEN004,SUC002,Web,1,211100,148600
VTA000244,2026-01-14,CLI0044,PROD0042,VEN003,SUC007,Telefónico,1,403800,279700
VTA000245,2025-03-12,CLI0017,PROD0024,VEN015,SUC001,Presencial,10,675800,598300
VTA000246,2026-03-21,CLI0085,PROD0003,VEN020,SUC008,Web,3,88000,61100
VTA000247,2026-04-08,CLI0024,PROD0016,VEN011,SUC009,Presencial,9,142100,113400
VTA000248,2025-06-07,CLI0077,PROD0034,VEN016,SUC002,Web,6,571400,420200
VTA000249,2025-06-17,CLI0011,PROD0042,VEN016,SUC005,Presencial,7,365700,277500
VTA000250,2026-03-18,CLI0100,PROD0041,VEN007,SUC003,Presencial,3,215600,142600
VTA000251,2025-12-16,CLI0063,PROD0031,VEN009,SUC004,Telefónico,10,254100,205700
VTA000252,2025-04-08,CLI0015,PROD0005,VEN008,SUC006,Telefónico,12,464200,310800
VTA000253,2025-11-06,CLI0089,PROD0017,VEN017,SUC010,Web,7,210600,145100
VTA000254,2026-04-29,CLI0061,PROD0036,VEN014,SUC002,Web,8,552700,326900
VTA000255,2026-03-19,CLI0069,PROD0046,VEN005,SUC001,Web,10,540300,354800
VTA000256,2026-05-18,CLI0012,PROD0016,VEN011,SUC008,Web,4,150000,112000
VTA000257,2025-10-29,CLI0046,PROD0033,VEN017,SUC003,Telefónico,7,262700,171200
VTA000258,2025-12-28,CLI0031,PROD0030,VEN010,SUC009,Presencial,9,581500,439800
VTA000259,2026-04-09,CLI0015,PROD0014,VEN003,SUC008,Presencial,11,56500,44300
VTA000260,2025-03-04,CLI0097,PROD0021,VEN015,SUC006,Web,9,845400,660900
VTA000261,2026-04-07,CLI0023,PROD0023,VEN002,SUC009,Presencial,2,586100,409300
VTA000262,2025-01-21,CLI0052,PROD0035,VEN007,SUC006,Presencial,1,706400,446900
VTA000263,2025-11-16,CLI0046,PROD0021,VEN007,SUC009,Web,6,840700,658900
VTA000264,2025-05-27,CLI0019,PROD0011,VEN012,SUC009,Presencial,2,902600,672300
VTA000265,2025-10-11,CLI0027,PROD0033,VEN001,SUC002,Web,6,250500,169900
VTA000266,2026-01-12,CLI0011,PROD0048,VEN001,SUC010,Telefónico,4,18500,13300
VTA000267,2025-10-17,CLI0021,PROD0007,VEN011,SUC008,Telefónico,11,593800,465900
VTA000268,2026-07-29,CLI0010,PROD0007,VEN016,SUC005,Presencial,12,614100,462000
VTA000269,2026-06-12,CLI0059,PROD0008,VEN005,SUC003,Presencial,10,664400,375600
VTA000270,2025-03-29,CLI0094,PROD0028,VEN017,SUC007,Telefónico,5,445000,273100
VTA000271,2025-06-01,CLI0072,PROD0045,VEN005,SUC008,Presencial,3,120800,91100
VTA000272,2025-01-19,CLI0067,PROD0021,VEN014,SUC008,Presencial,2,886400,669100
VTA000273,2025-05-26,CLI0035,PROD0021,VEN018,SUC003,Presencial,8,804500,663700
VTA000274,2026-04-15,CLI0040,PROD0021,VEN007,SUC010,Web,4,808600,678600
VTA000275,2025-12-01,CLI0072,PROD0025,VEN002,SUC009,Presencial,5,79100,60100
VTA000276,2026-07-15,CLI0060,PROD0012,VEN009,SUC009,Presencial,3,459100,279800
VTA000277,2026-04-27,CLI0099,PROD0042,VEN014,SUC008,Web,12,379200,278200
VTA000278,2026-03-03,CLI0075,PROD0037,VEN015,SUC010,Presencial,9,256000,167900
VTA000279,2025-07-03,CLI0041,PROD0010,VEN011,SUC007,Presencial,7,330500,226900
VTA000280,2025-04-30,CLI0089,PROD0014,VEN008,SUC002,Telefónico,11,56400,43800
VTA000281,2025-07-25,CLI0046,PROD0048,VEN007,SUC001,Presencial,2,18700,13300
VTA000282,2025-07-13,CLI0089,PROD0003,VEN019,SUC003,Web,12,80700,61400
VTA000283,2026-04-04,CLI0007,PROD0003,VEN020,SUC003,Presencial,8,88000,61400
VTA000284,2025-05-22,CLI0011,PROD0036,VEN019,SUC009,Telefónico,4,526900,312500
VTA000285,2025-10-11,CLI0076,PROD0006,VEN001,SUC001,Presencial,11,263700,184800
VTA000286,2026-01-22,CLI0078,PROD0037,VEN010,SUC007,Presencial,6,242700,165100
VTA000287,2026-02-26,CLI0067,PROD0023,VEN007,SUC001,Presencial,9,581600,394700
VTA000288,2025-05-18,CLI0011,PROD0018,VEN009,SUC006,Web,8,208900,148200
VTA000289,2025-05-23,CLI0028,PROD0003,VEN020,SUC010,Telefónico,12,86100,61600
VTA000290,2026-03-24,CLI0010,PROD0023,VEN017,SUC005,Web,5,643400,401900
VTA000291,2025-10-26,CLI0074,PROD0031,VEN003,SUC007,Telefónico,7,280800,205400
VTA000292,2026-07-17,CLI0078,PROD0029,VEN017,SUC002,Web,5,630200,426800
