MetaCodigo,FechaMes,VendedorCodigo,MetaVentas
META00107,2025-06-01,VEN007,20500000
META00108,2025-06-01,VEN008,13000000
META00109,2025-06-01,VEN009,18500000
META00110,2025-06-01,VEN010,12000000
META00111,2025-06-01,VEN011,18500000
META00112,2025-06-01,VEN012,9500000
META00113,2025-06-01,VEN013,25000000
META00114,2025-06-01,VEN014,17000000
META00115,2025-06-01,VEN015,24000000
META00116,2025-06-01,VEN016,21500000
META00117,2025-06-01,VEN017,9500000
META00118,2025-06-01,VEN018,18500000
META00119,2025-06-01,VEN019,13500000
META00120,2025-06-01,VEN020,16000000
META00121,2025-07-01,VEN001,17000000
META00122,2025-07-01,VEN002,9000000
META00123,2025-07-01,VEN003,24000000
META00124,2025-07-01,VEN004,17000000
META00125,2025-07-01,VEN005,11000000
META00126,2025-07-01,VEN006,11500000
META00127,2025-07-01,VEN007,18000000
META00128,2025-07-01,VEN008,12500000
META00129,2025-07-01,VEN009,11000000
META00130,2025-07-01,VEN010,12500000
META00131,2025-07-01,VEN011,24000000
META00132,2025-07-01,VEN012,10500000
META00133,2025-07-01,VEN013,18000000
META00134,2025-07-01,VEN014,13000000
META00135,2025-07-01,VEN015,9000000
META00136,2025-07-01,VEN016,14500000
META00137,2025-07-01,VEN017,18500000
META00138,2025-07-01,VEN018,8000000
META00139,2025-07-01,VEN019,25500000
META00140,2025-07-01,VEN020,13000000
META00141,2025-08-01,VEN001,23500000
META00142,2025-08-01,VEN002,9000000
META00143,2025-08-01,VEN003,23500000
META00144,2025-08-01,VEN004,11500000
META00145,2025-08-01,VEN005,23500000
META00146,2025-08-01,VEN006,15000000
META00147,2025-08-01,VEN007,25000000
META00148,2025-08-01,VEN008,13000000
META00149,2025-08-01,VEN009,16500000
META00150,2025-08-01,VEN010,11000000
META00151,2025-08-01,VEN011,21500000
META00152,2025-08-01,VEN012,24000000
META00153,2025-08-01,VEN013,10500000
META00154,2025-08-01,VEN014,25500000
META00155,2025-08-01,VEN015,10000000
META00156,2025-08-01,VEN016,25000000
META00157,2025-08-01,VEN017,22000000
META00158,2025-08-01,VEN018,22000000
META00159,2025-08-01,VEN019,16500000
META00160,2025-08-01,VEN020,8000000
META00161,2025-09-01,VEN001,17000000
META00162,2025-09-01,VEN002,15500000
META00163,2025-09-01,VEN003,15500000
META00164,2025-09-01,VEN004,13500000
META00165,2025-09-01,VEN005,25000000
META00166,2025-09-01,VEN006,10000000
META00167,2025-09-01,VEN007,24000000
META00168,2025-09-01,VEN008,24500000
META00169,2025-09-01,VEN009,13500000
META00170,2025-09-01,VEN010,22000000
META00171,2025-09-01,VEN011,16000000
META00172,2025-09-01,VEN012,24000000
META00173,2025-09-01,VEN013,20500000
META00174,2025-09-01,VEN014,16000000
META00175,2025-09-01,VEN015,23000000
META00176,2025-09-01,VEN016,24500000
META00177,2025-09-01,VEN017,19500000
META00178,2025-09-01,VEN018,15000000
META00179,2025-09-01,VEN019,9000000
META00180,2025-09-01,VEN020,18500000
META00181,2025-10-01,VEN001,10500000
META00182,2025-10-01,VEN002,20000000
META00183,2025-10-01,VEN003,19500000
META00184,2025-10-01,VEN004,16000000
META00185,2025-10-01,VEN005,8000000
META00186,2025-10-01,VEN006,14500000
META00187,2025-10-01,VEN007,15000000
META00188,2025-10-01,VEN008,19000000
META00189,2025-10-01,VEN009,19000000
META00190,2025-10-01,VEN010,23000000
META00191,2025-10-01,VEN011,21500000
META00192,2025-10-01,VEN012,18500000
META00193,2025-10-01,VEN013,24500000
META00194,2025-10-01,VEN014,11000000
META00195,2025-10-01,VEN015,11500000
META00196,2025-10-01,VEN016,23500000
META00197,2025-10-01,VEN017,14000000
META00198,2025-10-01,VEN018,11500000
META00199,2025-10-01,VEN019,14500000
META00200,2025-10-01,VEN020,12000000
META00201,2025-11-01,VEN001,13000000
META00202,2025-11-01,VEN002,23000000
META00203,2025-11-01,VEN003,20000000
META00204,2025-11-01,VEN004,8000000
META00205,2025-11-01,VEN005,25000000
META00206,2025-11-01,VEN006,14000000
META00207,2025-11-01,VEN007,13000000
META00208,2025-11-01,VEN008,17500000
META00209,2025-11-01,VEN009,15000000
META00210,2025-11-01,VEN010,19500000
META00211,2025-11-01,VEN011,11500000
META00212,2025-11-01,VEN012,16500000
META00213,2025-11-01,VEN013,17000000
META00214,2025-11-01,VEN014,14500000
META00215,2025-11-01,VEN015,17000000
META00216,2025-11-01,VEN016,21000000
META00217,2025-11-01,VEN017,22500000
META00218,2025-11-01,VEN018,15000000
META00219,2025-11-01,VEN019,17500000
META00220,2025-11-01,VEN020,16000000
META00221,2025-12-01,VEN001,25000000
META00222,2025-12-01,VEN002,19500000
META00223,2025-12-01,VEN003,9500000
META00224,2025-12-01,VEN004,13000000
META00225,2025-12-01,VEN005,17000000
META00226,2025-12-01,VEN006,12000000
META00227,2025-12-01,VEN007,19500000
META00228,2025-12-01,VEN008,12500000
META00229,2025-12-01,VEN009,10000000
META00230,2025-12-01,VEN010,25000000
META00231,2025-12-01,VEN011,19500000
META00232,2025-12-01,VEN012,24500000
META00233,2025-12-01,VEN013,24500000
META00234,2025-12-01,VEN014,11000000
META00235,2025-12-01,VEN015,18500000
META00236,2025-12-01,VEN016,23000000
META00237,2025-12-01,VEN017,20000000
META00238,2025-12-01,VEN018,20500000
META00239,2025-12-01,VEN019,13000000
META00240,2025-12-01,VEN020,22000000
META00241,2026-01-01,VEN001,25500000
META00242,2026-01-01,VEN002,13500000
META00243,2026-01-01,VEN003,19500000
META00244,2026-01-01,VEN004,11000000
META00245,2026-01-01,VEN005,13000000
META00246,2026-01-01,VEN006,15500000
META00247,2026-01-01,VEN007,13000000
META00248,2026-01-01,VEN008,25500000
META00249,2026-01-01,VEN009,20000000
META00250,2026-01-01,VEN010,23000000
META00251,2026-01-01,VEN011,16500000
META00252,2026-01-01,VEN012,12500000
META00253,2026-01-01,VEN013,12000000
META00254,2026-01-01,VEN014,21000000
META00255,2026-01-01,VEN015,22500000
META00256,2026-01-01,VEN016,9000000
META00257,2026-01-01,VEN017,17500000
META00258,2026-01-01,VEN018,10000000
META00259,2026-01-01,VEN019,23000000
META00260,2026-01-01,VEN020,8500000
META00261,2026-02-01,VEN001,17500000
META00262,2026-02-01,VEN002,8000000
META00263,2026-02-01,VEN003,21000000
META00264,2026-02-01,VEN004,19000000
META00265,2026-02-01,VEN005,13000000
META00266,2026-02-01,VEN006,9000000
META00267,2026-02-01,VEN007,22000000
META00268,2026-02-01,VEN008,18500000
META00269,2026-02-01,VEN009,8500000
META00270,2026-02-01,VEN010,19500000
META00271,2026-02-01,VEN011,10000000
META00272,2026-02-01,VEN012,23000000
META00273,2026-02-01,VEN013,17000000
META00274,2026-02-01,VEN014,12500000
META00275,2026-02-01,VEN015,8500000
META00276,2026-02-01,VEN016,12000000
META00277,2026-02-01,VEN017,21500000
META00278,2026-02-01,VEN018,24000000
META00279,2026-02-01,VEN019,18000000
META00280,2026-02-01,VEN020,19000000
META00281,2026-03-01,VEN001,25000000
META00282,2026-03-01,VEN002,19500000
META00283,2026-03-01,VEN003,14500000
META00284,2026-03-01,VEN004,21000000
META00285,2026-03-01,VEN005,20000000
META00286,2026-03-01,VEN006,15500000
META00287,2026-03-01,VEN007,21000000
META00288,2026-03-01,VEN008,21000000
META00289,2026-03-01,VEN009,11000000
META00290,2026-03-01,VEN010,14500000
META00291,2026-03-01,VEN011,18000000
META00292,2026-03-01,VEN012,17500000
META00293,2026-03-01,VEN013,22500000
META00294,2026-03-01,VEN014,12500000
META00295,2026-03-01,VEN015,12000000
META00296,2026-03-01,VEN016,23500000
META00297,2026-03-01,VEN017,23500000
META00298,2026-03-01,VEN018,16000000
META00299,2026-03-01,VEN019,14500000
META00300,2026-03-01,VEN020,15500000
META00301,2026-04-01,VEN001,17000000
META00302,2026-04-01,VEN002,12500000
META00303,2026-04-01,VEN003,8500000
META00304,2026-04-01,VEN004,24000000
META00305,2026-04-01,VEN005,20000000
META00306,2026-04-01,VEN006,8000000
META00307,2026-04-01,VEN007,13500000
META00308,2026-04-01,VEN008,8500000
META00309,2026-04-01,VEN009,15500000
META00310,2026-04-01,VEN010,24500000
META00311,2026-04-01,VEN011,11500000
META00312,2026-04-01,VEN012,11000000
META00313,2026-04-01,VEN013,22500000
META00314,2026-04-01,VEN014,11500000
META00315,2026-04-01,VEN015,20000000
META00316,2026-04-01,VEN016,14500000
META00317,2026-04-01,VEN017,15000000
META00318,2026-04-01,VEN018,23500000
META00319,2026-04-01,VEN019,20500000
META00320,2026-04-01,VEN020,16000000
META00321,2026-05-01,VEN001,11500000
META00322,2026-05-01,VEN002,23500000
META00323,2026-05-01,VEN003,20000000
META00324,2026-05-01,VEN004,8500000
META00325,2026-05-01,VEN005,25000000
META00326,2026-05-01,VEN006,15500000
META00327,2026-05-01,VEN007,24000000
META00328,2026-05-01,VEN008,23500000
META00329,2026-05-01,VEN009,19500000
META00330,2026-05-01,VEN010,23500000
META00331,2026-05-01,VEN011,20500000
META00332,2026-05-01,VEN012,12000000
META00333,2026-05-01,VEN013,8500000
META00334,2026-05-01,VEN014,18000000
META00335,2026-05-01,VEN015,25500000
META00336,2026-05-01,VEN016,21500000
META00337,2026-05-01,VEN017,10000000
META00338,2026-05-01,VEN018,25500000
META00339,2026-05-01,VEN019,19000000
META00340,2026-05-01,VEN020,10500000
META00341,2026-06-01,VEN001,22000000
META00342,2026-06-01,VEN002,20500000
META00343,2026-06-01,VEN003,15500000
META00344,2026-06-01,VEN004,13500000
META00345,2026-06-01,VEN005,10000000
META00346,2026-06-01,VEN006,20500000
META00347,2026-06-01,VEN007,17500000
META00348,2026-06-01,VEN008,13000000
META00349,2026-06-01,VEN009,23500000
META00350,2026-06-01,VEN010,21000000
META00351,2026-06-01,VEN011,8000000
META00352,2026-06-01,VEN012,20500000
META00353,2026-06-01,VEN013,9500000
META00354,2026-06-01,VEN014,15000000
META00355,2026-06-01,VEN015,21500000
META00356,2026-06-01,VEN016,25500000
META00357,2026-06-01,VEN017,25000000
META00358,2026-06-01,VEN018,11500000
META00359,2026-06-01,VEN019,23000000
META00360,2026-06-01,VEN020,19000000
META00361,2026-07-01,VEN001,25500000
META00362,2026-07-01,VEN002,8500000
META00363,2026-07-01,VEN003,13000000
META00364,2026-07-01,VEN004,18000000
META00365,2026-07-01,VEN005,20000000
META00366,2026-07-01,VEN006,9500000
META00367,2026-07-01,VEN007,20000000
META00368,2026-07-01,VEN008,23000000
META00369,2026-07-01,VEN009,24500000
META00370,2026-07-01,VEN010,20000000
META00371,2026-07-01,VEN011,10000000
META00372,2026-07-01,VEN012,17000000
META00373,2026-07-01,VEN013,8000000
META00374,2026-07-01,VEN014,8000000
META00375,2026-07-01,VEN015,21500000
META00376,2026-07-01,VEN016,15500000
META00377,2026-07-01,VEN017,9500000
META00378,2026-07-01,VEN018,14000000
META00379,2026-07-01,VEN019,15000000
META00380,2026-07-01,VEN020,11500000
